Player,Tm2024-25,Pos
Stephen Curry,GSW,"55761216",PG
Joel Embiid,PHI,"51415938",C
Nikola Jokić,DEN,"51415938",C
Kevin Durant,PHO,"51179021",SF
Bradley Beal,PHO,"50203930",SG
Jaylen Brown,BOS,"49700000",SF
Devin Booker,PHO,"49205800",SG
Karl-Anthony Towns,NYK,"49205800",C
Paul George,PHI,"49205800",SF
Kawhi Leonard,LAC,"49205800",SF
Jimmy Butler,MIA,"48798677",SF
Giannis Antetokounmpo,MIL,"48787676",PF
Damian Lillard,MIL,"48787676",PG
LeBron James,LAL,"48728845",SF
Rudy Gobert,MIN,"43827586",C
Anthony Davis,LAL,"43219440",C
Luka Dončić,DAL,"43031940",PG
Zach LaVine,CHI,"43031940",SG
Trae Young,ATL,"43031940",PG
Fred VanVleet,HOU,"42846615",PG
Anthony Edwards,MIN,"42176400",SG
Tyrese Haliburton,IND,"42176400",PG
Lauri Markkanen,UTA,"42176400",PF
Pascal Siakam,IND,"42176400",PF
Kyrie Irving,DAL,"41000000",PG
Domantas Sabonis,SAC,"40500000",C
Ben Simmons,BRK,"40338144",PG
Zion Williamson,NOP,"36725670",PF
Ja Morant,MEM,"36725670",PG
Darius Garland,CLE,"36725670",PG
OG Anunoby,NYK,"36637932",SF
Jamal Murray,DEN,"36016200",PG
Brandon Ingram,NOP,"36016200",SF
Shai Gilgeous-Alexander,OKC,"35859950",SG
Michael Porter Jr.,DEN,"35859950",SF
Donovan Mitchell,CLE,"35410310",SG
Tyrese Maxey,PHI,"35147000",PG
LaMelo Ball,CHO,"35147000",PG
Jayson Tatum,BOS,"34848340",SF
Bam Adebayo,MIA,"34848340",C
De'Aaron Fox,SAC,"34848340",PG
Desmond Bane,MEM,"34005250",SG
Deandre Ayton,POR,"34005126",C
James Harden,LAC,"33653846",SG
CJ McCollum,NOP,"33333333",SG
Julius Randle,MIN,"33073920",PF
Immanuel Quickley,TOR,"32500000",PG
Khris Middleton,MIL,"31666667",SF
Jrue Holiday,BOS,"30000000",PG
Isaiah Hartenstein,OKC,"30000000",C
Jerami Grant,POR,"29793104",PF
Jordan Poole,WAS,"29651786",SG
Dejounte Murray,NOP,"29517135",PG
Devin Vassell,SAS,"29347826",SG
Kristaps Porziņģis,BOS,"29268293",PF
Tyler Herro,MIA,"29000000",SG
Nic Claxton,BRK,"27556817",C
Miles Bridges,CHO,"27173913",SF
John Collins,UTA,"26580000",PF
Andrew Wiggins,GSW,"26276786",SF
Anfernee Simons,POR,"25892857",SG
RJ Barrett,TOR,"25794643",SG
Tobias Harris,DET,"25365854",PF
Jaren Jackson Jr.,MEM,"25257798",C
Jonathan Isaac,ORL,"25000000",PF
Jalen Brunson,NYK,"24960001",PG
Terry Rozier,MIA,"24924126",PG
Draymond Green,GSW,"24107143",PF
Kyle Kuzma,WAS,"23522727",PF
DeMar DeRozan,SAC,"23400000",SG
Mikal Bridges,NYK,"23300000",SF
Jaden McDaniels,MIN,"23017242",PF
Bruce Brown,TOR,"23000000",PG
Brook Lopez,MIL,"23000000",C
Aaron Gordon,DEN,"22841455",PF
Kentavious Caldwell-Pope,ORL,"22757000",SG
Cameron Johnson,BRK,"22500000",PF
Malcolm Brogdon,WAS,"22500000",PG
Clint Capela,ATL,"22265280",C
Dillon Brooks,HOU,"22255493",SG
De'Andre Hunter,ATL,"21696429",SF
Lonzo Ball,CHI,"21395348",PG
Marcus Smart,MEM,"20210284",PG
Derrick White,BOS,"20071429",SG
Jarrett Allen,CLE,"20000000",C
Nikola Vučević,CHI,"20000000",C
Myles Turner,IND,"19928500",C
Jakob Poeltl,TOR,"19500000",C
Duncan Robinson,MIA,"19406000",SF
Norman Powell,LAC,"19241379",SG
Bojan Bogdanović,BRK,"19032850",SF
Keldon Johnson,SAS,"19000000",SF
D'Angelo Russell,LAL,"18692307",PG
Collin Sexton,UTA,"18350000",SG
Josh Hart,NYK,"18144000",SG
Jusuf Nurkić,PHO,"18125000",C
Patrick Williams,CHI,"18000000",PF
Harrison Barnes,SAS,"18000000",SF
Malik Monk,SAC,"17405203",SG
Bogdan Bogdanović,ATL,"17260000",SG
Rui Hachimura,LAL,"17000000",PF
Kevin Huerter,SAC,"16830357",SG
Zach Collins,SAS,"16741200",PF
Caris LeVert,CLE,"16615384",SG
Luguentz Dort,OKC,"16500000",SG
Tim Hardaway Jr.,DET,"16193183",SG
Klay Thompson,DAL,"15873016",SG
Deni Avdija,POR,"15625000",SF
Grayson Allen,PHO,"15625000",SG
P.J. Washington,DAL,"15500000",PF
Max Strus,CLE,"15212068",SF
Isaiah Stewart,DET,"15000000",C
Dorian Finney-Smith,BRK,"14924167",PF
Luke Kennard,MEM,"14763636",SG
Mitchell Robinson,NYK,"14318182",C
Jordan Clarkson,UTA,"14092577",SG
Onyeka Okongwu,ATL,"14000000",C
Naz Reid,MIN,"13986432",C
Cade Cunningham,DET,"13940809",PG
Daniel Gafford,DAL,"13394160",PF
Grant Williams,CHO,"13025250",PF
Dennis Schröder,BRK,"13025250",PG
Isaiah Joe,OKC,"12991650",SG
Herbert Jones,NOP,"12976362",SF
Austin Reaves,LAL,"12976362",SG
Obi Toppin,IND,"12975000",PF
Cole Anthony,ORL,"12900000",PG
De'Anthony Melton,GSW,"12822000",PG
Kelly Olynyk,TOR,"12804878",C
Victor Wembanyama,SAS,"12768960",PF
Josh Green,CHO,"12654321",SG
Richaun Holmes,WAS,"12648321",PF
Steven Adams,HOU,"12600000",C
Bobby Portis,MIL,"12578286",PF
Zaccharie Risacher,ATL,"12569040",SF
Brandon Clarke,MEM,"12500000",PF
Marvin Bagley III,WAS,"12500000",PF
Jalen Green,HOU,"12483048",SG
Robert Williams,POR,"12428571",C
Paolo Banchero,ORL,"12160800",SF
Coby White,CHI,"12000000",PG
Wendell Carter Jr.,ORL,"11950000",C
Ivica Zubac,LAC,"11743210",C
P.J. Tucker,LAC,"11539000",PF
Donte DiVincenzo,MIN,"11445000",SG
Brandon Miller,CHO,"11424600",SF
Terance Mann,LAC,"11423077",SG
Alex Sarr,WAS,"11245680",PF
